ID;createdAt;createdBy;title;prio;descr;miti_id;impact
0022466B-37D5-66DC-183E-4C8CF6936018;2019-01-25;max.mustermann@muster.com;SLA violation with possible termination cause;3;Violation of export and trade control with unauthorized downloads;3F828113-9436-47FC-043F-EBD44DB663C7;100000
002A0348-5097-1455-1E48-DDAF6EB5202F;2021-01-25;max.mustermann@muster.com;Shipment violating export control;3;Recent restructuring might violate CFR code 71;FF70C37B-3728-9350-995D-14FF703D62F7;19000
0035CF4D-9803-5E37-4F77-0214324EA6F1;2020-01-25;max.mustermann@muster.com;CFR non-compliance;3;Repeated SAL violation on service delivery for two successive quarters;A40D1707-5303-8079-40F6-9BA4179275AF;24000
004F4DCC-7802-1BD3-2531-40E2D9317E83;2019-01-25;max.mustermann@muster.com;CFR non-compliance;1;Violation of export and trade control with unauthorized downloads;36642EE6-6A48-8110-62F8-7BE45833A445;16000
006522C1-2DF3-4611-A45C-1CBF7D507EDF;2020-01-25;max.mustermann@muster.com;SLA violation with possible termination cause;1;Repeated SAL violation on service delivery for two successive quarters;58AF9320-24ED-6490-954F-4F19933F1205;95000
00697B24-176F-8A1A-3FF5-94FC9E7A2196;2019-01-25;max.mustermann@muster.com;Shipment violating export control;1;Repeated SAL violation on service delivery for two successive quarters;52CC0B84-54F1-30B1-1468-5BD79DCE7ABF;19000
008036C4-3A51-5D68-7621-EEF2C6E822B5;2019-01-25;max.mustermann@muster.com;CFR non-compliance;1;Violation of export and trade control with unauthorized downloads;95F6BE94-7466-762A-A596-D70301591B28;22000
008B91FA-98EC-7CD0-2193-A69A6D252014;2020-01-25;max.mustermann@muster.com;Shipment violating export control;2;Violation of export and trade control with unauthorized downloads;702E14DB-5D74-6269-9447-C8E8F6DB6423;96000
009E235D-11EB-4AEA-3797-A43652681632;2019-01-25;max.mustermann@muster.com;CFR non-compliance;1;Repeated SAL violation on service delivery for two successive quarters;059B3308-73EF-5BE8-1937-883A7B1A113A;55000
00BDDD21-55F6-3D87-9BDA-4310D0B42D0E;2020-01-25;max.mustermann@muster.com;SLA violation with possible termination cause;3;Recent restructuring might violate CFR code 71;D821BF65-7BC4-37CD-0AF4-F7E38DF0A549;22000
